"NYSC Corper Registry — Batch 24D | Lead City University, Ibadan",,,,,,,
Full Name,Call-Up Number,State Code,Email,Batch,Service Start Date,Deployment Unit,Status
Ogbonna Tolulope,NYSC/FUTMINNA/2024/104229,BE/24D/0001,tolulope.ogbonna@outlook.com,24D,30-Nov-2024,Engineering Faculty,COMPLETED
Ogundimu Gbenga,NYSC/UNICAL/2024/104237,ZA/24D/0002,gbenogundimu@yahoo.com,24D,28-Nov-2024,Management Sciences,COMPLETED
Rabiu Olamide,NYSC/UNIBEN/2024/104242,FC/24D/0003,olamiderabiu56@outlook.com,24D,18-Nov-2024,Science Faculty,COMPLETED
Ojo Chizaram,NYSC/UNICAL/2024/104247,NI/24D/0004,chizaramojo67@outlook.com,24D,06-Dec-2024,Library,COMPLETED
Adeleke Adaeze,NYSC/BUK/2024/104258,LA/24D/0005,adaeze.adeleke@gmail.com,24D,17-Dec-2024,Science Faculty,COMPLETED
Babangida Musa,NYSC/OAU/2024/104263,OY/24D/0006,musa.babangida@yahoo.com,24D,09-Dec-2024,Engineering Faculty,COMPLETED
Anyanwu Adeola,NYSC/LASU/2024/104270,AB/24D/0007,adeolaanyanwu60@gmail.com,24D,20-Dec-2024,Law Faculty,COMPLETED
Nzekwe Obioma,NYSC/LASU/2024/104282,RS/24D/0008,obiomanzekwe8@hotmail.com,24D,04-Nov-2024,Science Faculty,COMPLETED
Fashola Nkechi,NYSC/OAU/2024/104296,NA/24D/0009,nkecfashola@yahoo.com,24D,02-Dec-2024,Education Faculty,COMPLETED
Oyeleke Ebunoluwa,NYSC/UNN/2024/104299,BE/24D/0010,ebunoluwa.oyeleke@outlook.com,24D,07-Dec-2024,Education Faculty,COMPLETED
Ibrahim Olamide,NYSC/ABU/2024/104304,SO/24D/0011,olamide.ibrahim@gmail.com,24D,15-Dec-2024,Computing Department,COMPLETED
Okonkwo Taiwo,NYSC/UNIMAID/2024/104319,TA/24D/0012,taiwo.okonkwo@hotmail.com,24D,25-Nov-2024,Education Faculty,COMPLETED
Adegoke Nwanneka,NYSC/FUTMINNA/2024/104333,ZA/24D/0013,nwannekaadegoke52@gmail.com,24D,05-Dec-2024,Medical Sciences,COMPLETED
Chima Chukwudi,NYSC/LASU/2024/104335,EB/24D/0014,chukchima@outlook.com,24D,25-Nov-2024,Agriculture Faculty,COMPLETED
Ezeh Hassan,NYSC/OAU/2024/104346,SO/24D/0015,hassan.ezeh@hotmail.com,24D,13-Nov-2024,Computing Department,COMPLETED
Adesanya Adaora,NYSC/NOUN/2024/104358,SO/24D/0016,adaora.adesanya@outlook.com,24D,22-Nov-2024,Science Faculty,COMPLETED
Eze Rasheed,NYSC/UNN/2024/104364,KN/24D/0017,rasheed.eze@hotmail.com,24D,03-Nov-2024,Social Sciences,COMPLETED
Ibrahim Olalekan,NYSC/UNIBEN/2024/104367,PL/24D/0018,olalekanibrahim2@yahoo.com,24D,07-Nov-2024,Social Sciences,COMPLETED
Adeleke Ebele,NYSC/UNN/2024/104377,KW/24D/0019,ebeleadeleke9@yahoo.com,24D,18-Dec-2024,Education Faculty,COMPLETED
Adegoke Chinyere,NYSC/ABU/2024/104384,ZA/24D/0020,chinyereadegoke98@gmail.com,24D,05-Nov-2024,Medical Sciences,COMPLETED
Amaechi Olumide,NYSC/FUTMINNA/2024/104389,IM/24D/0021,olumide.amaechi@yahoo.com,24D,07-Nov-2024,Agriculture Faculty,COMPLETED
Aliyu Haruna,NYSC/UNIMAID/2024/104399,OY/24D/0022,harualiyu@gmail.com,24D,12-Dec-2024,Science Faculty,COMPLETED
Amaechi Ikenna,NYSC/ABU/2024/104414,PL/24D/0023,ikennaamaechi82@outlook.com,24D,16-Nov-2024,Social Sciences,COMPLETED
Babangida Hassan,NYSC/UNIMAID/2024/104424,AE/24D/0024,hassanbabangida81@outlook.com,24D,01-Nov-2024,Environmental Sciences,COMPLETED
