"NYSC Corper Registry — Batch 25B | Lead City University, Ibadan",,,,,,,
Full Name,Call-Up Number,State Code,Email,Batch,Service Start Date,Deployment Unit,Status
Makinde Ugochukwu,NYSC/UNIPORT/2025/105457,OY/25B/0001,ugochukwumakinde92@gmail.com,25B,21-May-2025,Arts Faculty,ACTIVE
Oyeleke Ebele,NYSC/NOUN/2025/105470,OS/25B/0002,ebeleoyeleke74@gmail.com,25B,26-May-2025,Engineering Faculty,ACTIVE
Yusuf Oluwatobiloba,NYSC/FUTMINNA/2025/105481,FC/25B/0003,oluwatobilobayusuf68@yahoo.com,25B,11-Jun-2025,Engineering Faculty,ACTIVE
Nwankwo Ebunoluwa,NYSC/NOUN/2025/105496,JG/25B/0004,ebunoluwanwankwo11@gmail.com,25B,16-Jun-2025,Social Sciences,ACTIVE
Bankole Chinonso,NYSC/OAU/2025/105508,BE/25B/0005,chinonso.bankole@outlook.com,25B,02-May-2025,Agriculture Faculty,ACTIVE
Oyelaran Ebunoluwa,NYSC/FUTA/2025/105521,CR/25B/0006,ebunoluwaoyelaran65@gmail.com,25B,17-May-2025,Library,ACTIVE
Adegoke Adunola,NYSC/UNN/2025/105530,OS/25B/0007,adunolaadegoke74@gmail.com,25B,16-May-2025,Education Faculty,ACTIVE
Okoro Festus,NYSC/FUTA/2025/105542,JG/25B/0008,festus.okoro@yahoo.com,25B,21-May-2025,Law Faculty,ACTIVE
Makinde Musa,NYSC/UNN/2025/105552,NI/25B/0009,musa.makinde@hotmail.com,25B,28-May-2025,Arts Faculty,ACTIVE
Ugwu Ramoni,NYSC/OAU/2025/105555,NA/25B/0010,ramougwu@outlook.com,25B,01-Jun-2025,Medical Sciences,ACTIVE
Lawan Dauda,NYSC/LASU/2025/105562,KT/25B/0011,daudlawan@yahoo.com,25B,02-Jun-2025,Arts Faculty,ACTIVE
Ugwu Oluwakemi,NYSC/UNIMAID/2025/105571,NI/25B/0012,oluwugwu@gmail.com,25B,24-Jun-2025,Engineering Faculty,ACTIVE
Obi Oluwakemi,NYSC/UNIBEN/2025/105573,DT/25B/0013,oluwakemiobi16@outlook.com,25B,20-May-2025,Agriculture Faculty,ACTIVE
Bello Fatima,NYSC/BUK/2025/105581,EN/25B/0014,fatibello@yahoo.com,25B,01-Jun-2025,Engineering Faculty,ACTIVE
Olawale Damilola,NYSC/UNIBEN/2025/105583,EK/25B/0015,damilolaolawale74@outlook.com,25B,20-Jun-2025,Management Sciences,ACTIVE
Onwudiwe Rasheed,NYSC/UNIPORT/2025/105591,AN/25B/0016,rashonwudiwe@gmail.com,25B,12-Jun-2025,Education Faculty,ACTIVE
Okoro Uchenna,NYSC/FUOYE/2025/105598,KN/25B/0017,ucheokoro@outlook.com,25B,06-May-2025,Agriculture Faculty,ACTIVE
Nwosu Obinna,NYSC/UNN/2025/105601,ED/25B/0018,obinnanwosu25@gmail.com,25B,02-Jun-2025,Computing Department,ACTIVE
Anyanwu Oluwakemi,NYSC/UI/2025/105602,OY/25B/0019,oluwanyanwu@gmail.com,25B,08-Jun-2025,Social Sciences,ACTIVE
Eze Adaora,NYSC/UNILAG/2025/105609,SO/25B/0020,adaoeze@gmail.com,25B,21-May-2025,Medical Sciences,ACTIVE
Usman Blessing,NYSC/LASU/2025/105614,KW/25B/0021,blessing.usman@yahoo.com,25B,20-May-2025,Law Faculty,ACTIVE
Ogbonna Bolanle,NYSC/FUOYE/2025/105621,OS/25B/0022,bolanleogbonna92@gmail.com,25B,07-May-2025,Arts Faculty,ACTIVE
Nzekwe Bello,NYSC/NOUN/2025/105624,RS/25B/0023,bellonzekwe26@yahoo.com,25B,02-Jun-2025,Science Faculty,ACTIVE
Usman Uchenna,NYSC/UNIBEN/2025/105633,AK/25B/0024,uchennausman71@hotmail.com,25B,02-May-2025,Medical Sciences,ACTIVE
Ibrahim Oyinkan,NYSC/UNN/2025/105644,AK/25B/0025,oyinkan.ibrahim@yahoo.com,25B,24-Jun-2025,Social Sciences,ACTIVE
Bello Rotimi,NYSC/LASU/2025/105653,KB/25B/0026,rotimi.bello@hotmail.com,25B,22-Jun-2025,Social Sciences,ACTIVE
Chima Adaobi,NYSC/UNILAG/2025/105667,IM/25B/0027,adaobichima35@outlook.com,25B,23-Jun-2025,Engineering Faculty,ACTIVE
Bankole Festus,NYSC/LASU/2025/105671,OG/25B/0028,festbankole@hotmail.com,25B,08-May-2025,Library,ACTIVE
Iwu Rasheed,NYSC/UNILORIN/2025/105674,KG/25B/0029,rashiwu@outlook.com,25B,29-May-2025,Environmental Sciences,ACTIVE
Nzekwe Adeola,NYSC/UNILORIN/2025/105678,GO/25B/0030,adeonzekwe@gmail.com,25B,31-May-2025,Education Faculty,ACTIVE
