"NYSC Corper Registry — Batch 25A | Lead City University, Ibadan",,,,,,,
Full Name,Call-Up Number,State Code,Email,Batch,Service Start Date,Deployment Unit,Status
Musa Wale,NYSC/ABU/2025/104822,AB/25A/0001,wale.musa@hotmail.com,25A,24-Feb-2025,Management Sciences,COMPLETED
Nwosu Adaora,NYSC/UNICAL/2025/104828,AB/25A/0002,adaoranwosu36@outlook.com,25A,03-Mar-2025,Management Sciences,COMPLETED
Lawan Kemi,NYSC/UI/2025/104838,TA/25A/0003,kemilawan14@gmail.com,25A,04-Mar-2025,Arts Faculty,COMPLETED
Nwosu Aisha,NYSC/UNIBEN/2025/104849,KW/25A/0004,aishanwosu87@gmail.com,25A,11-Mar-2025,Science Faculty,COMPLETED
Yusuf Nneka,NYSC/OAU/2025/104855,KW/25A/0005,nnekyusuf@outlook.com,25A,04-Mar-2025,Computing Department,COMPLETED
Agu Nkechi,NYSC/UNILAG/2025/104864,ZA/25A/0006,nkechiagu16@hotmail.com,25A,27-Mar-2025,Engineering Faculty,COMPLETED
Babangida Chukwudi,NYSC/LASU/2025/104872,OG/25A/0007,chukwudibabangida91@yahoo.com,25A,09-Feb-2025,Agriculture Faculty,COMPLETED
Lawan Uchenna,NYSC/UNIMAID/2025/104884,AB/25A/0008,uchennalawan61@yahoo.com,25A,17-Feb-2025,Computing Department,COMPLETED
Ezeh Haruna,NYSC/FUOYE/2025/104894,DT/25A/0009,harunaezeh76@gmail.com,25A,23-Feb-2025,Engineering Faculty,ACTIVE
Nwosu Festus,NYSC/NOUN/2025/104906,GO/25A/0010,festusnwosu45@outlook.com,25A,04-Feb-2025,Science Faculty,COMPLETED
Adesanya Obiageli,NYSC/OAU/2025/104910,ED/25A/0011,obiageli.adesanya@gmail.com,25A,02-Feb-2025,Library,COMPLETED
Tanko Emeka,NYSC/BUK/2025/104916,KG/25A/0012,emekatanko90@hotmail.com,25A,25-Feb-2025,Law Faculty,COMPLETED
Lawal Chinyere,NYSC/UNN/2025/104923,SO/25A/0013,chinyere.lawal@yahoo.com,25A,12-Mar-2025,Library,COMPLETED
Onyekwere Ugochi,NYSC/OAU/2025/104929,SO/25A/0014,ugochionyekwere37@outlook.com,25A,09-Mar-2025,Agriculture Faculty,COMPLETED
Obi Chidi,NYSC/FUOYE/2025/104942,KW/25A/0015,chidi.obi@gmail.com,25A,23-Feb-2025,Law Faculty,ACTIVE
Yusuf Chizaram,NYSC/FUTA/2025/104944,TA/25A/0016,chizaramyusuf26@hotmail.com,25A,12-Mar-2025,Management Sciences,COMPLETED
Anyanwu Obioma,NYSC/LASU/2025/104952,OY/25A/0017,obioanyanwu@outlook.com,25A,07-Mar-2025,Environmental Sciences,ACTIVE
