"NYSC Corper Registry — Batch 23C | Lead City University, Ibadan",,,,,,,
Full Name,Call-Up Number,State Code,Email,Batch,Service Start Date,Deployment Unit,Status
Bankole Bamidele,NYSC/UNILORIN/2023/101212,SO/23C/0001,bamibankole@yahoo.com,23C,29-Aug-2023,Science Faculty,COMPLETED
Ajayi Ugochukwu,NYSC/OAU/2023/101225,JG/23C/0002,ugochukwuajayi39@yahoo.com,23C,02-Sept-2023,Agriculture Faculty,COMPLETED
Salami Adaora,NYSC/UNIMAID/2023/101227,CR/23C/0003,adaosalami@hotmail.com,23C,09-Aug-2023,Engineering Faculty,COMPLETED
Adeleke Blessing,NYSC/NOUN/2023/101242,ED/23C/0004,blesadeleke@hotmail.com,23C,05-Aug-2023,Library,COMPLETED
Chukwu Yakubu,NYSC/UNIPORT/2023/101248,NA/23C/0005,yakubuchukwu17@yahoo.com,23C,02-Sept-2023,Computing Department,COMPLETED
Adegoke Amina,NYSC/ABU/2023/101262,YB/23C/0006,aminaadegoke21@outlook.com,23C,30-Sept-2023,Law Faculty,COMPLETED
Musa Ikenna,NYSC/UNILORIN/2023/101271,RS/23C/0007,ikenmusa@gmail.com,23C,11-Sept-2023,Computing Department,COMPLETED
Obiora Festus,NYSC/FUOYE/2023/101281,IM/23C/0008,festobiora@gmail.com,23C,19-Sept-2023,Environmental Sciences,COMPLETED
Adekunle Chizaram,NYSC/UNILAG/2023/101286,KT/23C/0009,chizaram.adekunle@outlook.com,23C,21-Sept-2023,Education Faculty,COMPLETED
Yusuf Kemi,NYSC/OAU/2023/101297,NI/23C/0010,kemiyusuf21@hotmail.com,23C,30-Aug-2023,Library,COMPLETED
Bello Isioma,NYSC/FUOYE/2023/101303,FC/23C/0011,isiobello@outlook.com,23C,05-Sept-2023,Library,COMPLETED
Ogbu Ibrahim,NYSC/UI/2023/101309,AB/23C/0012,ibrahimogbu19@gmail.com,23C,30-Sept-2023,Education Faculty,COMPLETED
Amaechi Bamidele,NYSC/LASU/2023/101323,CR/23C/0013,bamiamaechi@hotmail.com,23C,30-Aug-2023,Medical Sciences,COMPLETED
Orji Uchechi,NYSC/OAU/2023/101338,OY/23C/0014,uchechi.orji@hotmail.com,23C,04-Aug-2023,Management Sciences,COMPLETED
Ogundimu Okonkwo,NYSC/UNILAG/2023/101346,DT/23C/0015,okonkwoogundimu18@outlook.com,23C,24-Aug-2023,Science Faculty,COMPLETED
Garba Babatunde,NYSC/FUTA/2023/101353,KB/23C/0016,babagarba@outlook.com,23C,13-Sept-2023,Science Faculty,COMPLETED
Lawal Chinonso,NYSC/FUTMINNA/2023/101355,KN/23C/0017,chinlawal@yahoo.com,23C,02-Sept-2023,Medical Sciences,COMPLETED
Eze Ngozi,NYSC/ABU/2023/101364,OG/23C/0018,ngozeze@yahoo.com,23C,27-Sept-2023,Library,COMPLETED
Ajayi Chinyere,NYSC/NOUN/2023/101367,IM/23C/0019,chinajayi@hotmail.com,23C,06-Sept-2023,Environmental Sciences,COMPLETED
Obi Oluwaseun,NYSC/UNN/2023/101375,GO/23C/0020,oluwaseunobi93@gmail.com,23C,11-Sept-2023,Management Sciences,COMPLETED
