"NYSC Corper Registry — Batch 24B | Lead City University, Ibadan",,,,,,,
Full Name,Call-Up Number,State Code,Email,Batch,Service Start Date,Deployment Unit,Status
Nwachukwu Damilola,NYSC/OAU/2024/103065,AE/24B/0001,daminwachukwu@outlook.com,24B,26-Jun-2024,Law Faculty,COMPLETED
Chukwu Oluwaseyi,NYSC/UNILAG/2024/103067,OY/24B/0002,oluwchukwu@gmail.com,24B,17-May-2024,Environmental Sciences,COMPLETED
Ogundimu Ebunoluwa,NYSC/FUTMINNA/2024/103082,EN/24B/0003,ebunoluwaogundimu99@outlook.com,24B,02-Jun-2024,Management Sciences,COMPLETED
Makinde Taiwo,NYSC/UNILAG/2024/103084,TA/24B/0004,taiwomakinde79@yahoo.com,24B,11-May-2024,Computing Department,COMPLETED
Bello Mohammed,NYSC/FUTMINNA/2024/103094,PL/24B/0005,mohammed.bello@yahoo.com,24B,17-May-2024,Engineering Faculty,COMPLETED
Adekunle Ngozi,NYSC/FUTMINNA/2024/103098,YB/24B/0006,ngozadekunle@gmail.com,24B,21-May-2024,Management Sciences,COMPLETED
Iwu Wale,NYSC/LASU/2024/103110,RS/24B/0007,waleiwu47@gmail.com,24B,28-Jun-2024,Management Sciences,COMPLETED
Ezeh Kemi,NYSC/UNIMAID/2024/103119,JG/24B/0008,kemi.ezeh@gmail.com,24B,15-May-2024,Education Faculty,COMPLETED
Iwu Yakubu,NYSC/ABU/2024/103128,BE/24B/0009,yakubuiwu47@gmail.com,24B,21-Jun-2024,Arts Faculty,COMPLETED
Mbah Usman,NYSC/UNIMAID/2024/103140,PL/24B/0010,usman.mbah@yahoo.com,24B,03-May-2024,Social Sciences,COMPLETED
Aliyu Adaora,NYSC/UNIBEN/2024/103150,AN/24B/0011,adaora.aliyu@yahoo.com,24B,03-Jun-2024,Environmental Sciences,COMPLETED
Ibrahim Mohammed,NYSC/OAU/2024/103160,DT/24B/0012,mohammed.ibrahim@hotmail.com,24B,15-May-2024,Social Sciences,COMPLETED
Bello Okonkwo,NYSC/UI/2024/103167,AE/24B/0013,okonkwobello59@gmail.com,24B,25-May-2024,Arts Faculty,COMPLETED
Onyekwere Oluwaseun,NYSC/BUK/2024/103169,YB/24B/0014,oluwonyekwere@gmail.com,24B,02-Jun-2024,Arts Faculty,COMPLETED
Mbah Blessing,NYSC/UNILAG/2024/103171,AN/24B/0015,blessing.mbah@hotmail.com,24B,14-Jun-2024,Computing Department,COMPLETED
Mbah Oyinkan,NYSC/FUTMINNA/2024/103178,KD/24B/0016,oyinkanmbah55@yahoo.com,24B,19-Jun-2024,Environmental Sciences,COMPLETED
Bankole Yusuf,NYSC/BUK/2024/103193,ZA/24B/0017,yusubankole@gmail.com,24B,01-May-2024,Law Faculty,COMPLETED
Ajayi Rotimi,NYSC/FUTMINNA/2024/103204,KT/24B/0018,rotiajayi@outlook.com,24B,28-May-2024,Science Faculty,COMPLETED
Iwu Bamidele,NYSC/UNILORIN/2024/103210,KN/24B/0019,bamideleiwu23@outlook.com,24B,20-May-2024,Management Sciences,COMPLETED
Ojo Obinna,NYSC/UNN/2024/103216,AN/24B/0020,obinna.ojo@yahoo.com,24B,02-Jun-2024,Library,COMPLETED
Abubakar Ogechi,NYSC/NOUN/2024/103229,IM/24B/0021,ogecabubakar@hotmail.com,24B,28-May-2024,Computing Department,COMPLETED
Haruna Nkechi,NYSC/OAU/2024/103231,KB/24B/0022,nkecharuna@hotmail.com,24B,11-Jun-2024,Environmental Sciences,COMPLETED
Okafor Adannaya,NYSC/UNIMAID/2024/103236,AE/24B/0023,adannaya.okafor@gmail.com,24B,20-Jun-2024,Education Faculty,COMPLETED
Okoro Wale,NYSC/UNIBEN/2024/103245,IM/24B/0024,wale.okoro@yahoo.com,24B,18-May-2024,Medical Sciences,COMPLETED
