"NYSC Corper Registry — Batch 23A | Lead City University, Ibadan",,,,,,,
Full Name,Call-Up Number,State Code,Email,Batch,Service Start Date,Deployment Unit,Status
Nwosu Usman,NYSC/UNICAL/2023/100011,AK/23A/0001,usmanwosu@gmail.com,23A,28-Feb-2023,Social Sciences,COMPLETED
Ugwu Blessing,NYSC/UNILAG/2023/100012,BY/23A/0002,blessingugwu92@hotmail.com,23A,10-Mar-2023,Agriculture Faculty,COMPLETED
Aliyu Chukwuemeka,NYSC/FUOYE/2023/100025,KG/23A/0003,chukwuemeka.aliyu@yahoo.com,23A,25-Feb-2023,Law Faculty,COMPLETED
Oyelaran Lawal,NYSC/UNIPORT/2023/100031,OG/23A/0004,lawaoyelaran@outlook.com,23A,12-Mar-2023,Agriculture Faculty,COMPLETED
Garba Oluwabunmi,NYSC/UNIBEN/2023/100037,EK/23A/0005,oluwabunmi.garba@yahoo.com,23A,28-Mar-2023,Computing Department,COMPLETED
Tanko Oluwafunmilayo,NYSC/LASU/2023/100044,KB/23A/0006,oluwtanko@gmail.com,23A,13-Mar-2023,Medical Sciences,COMPLETED
Nwofor Oluwaseyi,NYSC/UNIPORT/2023/100053,IM/23A/0007,oluwaseyi.nwofor@outlook.com,23A,15-Feb-2023,Management Sciences,COMPLETED
Nwosu Aliyu,NYSC/OAU/2023/100054,AK/23A/0008,aliynwosu@hotmail.com,23A,02-Mar-2023,Social Sciences,COMPLETED
Nwofor Aisha,NYSC/UI/2023/100059,ZA/23A/0009,aisha.nwofor@hotmail.com,23A,09-Feb-2023,Library,COMPLETED
Abubakar Blessing,NYSC/ABU/2023/100067,AB/23A/0010,blessingabubakar88@hotmail.com,23A,25-Feb-2023,Computing Department,COMPLETED
Danjuma Odochi,NYSC/UNN/2023/100075,LA/23A/0011,odochidanjuma99@outlook.com,23A,28-Feb-2023,Computing Department,COMPLETED
Oyelaran Chukwuemeka,NYSC/LASU/2023/100083,TA/23A/0012,chukwuemeka.oyelaran@gmail.com,23A,24-Feb-2023,Agriculture Faculty,COMPLETED
Okonkwo Ebunoluwa,NYSC/UNIMAID/2023/100086,FC/23A/0013,ebunoluwa.okonkwo@gmail.com,23A,16-Feb-2023,Engineering Faculty,COMPLETED
Lawan Yusuf,NYSC/ABU/2023/100088,EK/23A/0014,yusulawan@outlook.com,23A,28-Mar-2023,Arts Faculty,COMPLETED
Onyekwere Zainab,NYSC/NOUN/2023/100095,ED/23A/0015,zainab.onyekwere@outlook.com,23A,15-Feb-2023,Computing Department,COMPLETED
Okoro Oluwaseun,NYSC/UNILAG/2023/100101,BY/23A/0016,oluwaseunokoro30@gmail.com,23A,05-Feb-2023,Science Faculty,COMPLETED
Lawan Oluwafunmilayo,NYSC/ABU/2023/100105,BE/23A/0017,oluwafunmilayo.lawan@hotmail.com,23A,07-Feb-2023,Library,COMPLETED
Ezeh Ugochi,NYSC/BUK/2023/100116,KG/23A/0018,ugochiezeh87@gmail.com,23A,19-Mar-2023,Education Faculty,COMPLETED
Nwofor Chiamaka,NYSC/UNILORIN/2023/100129,EB/23A/0019,chiamakanwofor18@hotmail.com,23A,02-Mar-2023,Agriculture Faculty,COMPLETED
Nwankwo Chioma,NYSC/UNIBEN/2023/100143,KW/23A/0020,chiomanwankwo12@yahoo.com,23A,04-Mar-2023,Computing Department,COMPLETED
Okafor Kemi,NYSC/NOUN/2023/100147,IM/23A/0021,kemiokafor34@hotmail.com,23A,17-Mar-2023,Engineering Faculty,COMPLETED
Lawan Chibuike,NYSC/UNILORIN/2023/100160,EN/23A/0022,chibuike.lawan@yahoo.com,23A,04-Feb-2023,Law Faculty,COMPLETED
Aliyu Garba,NYSC/OAU/2023/100168,OS/23A/0023,garbaaliyu77@gmail.com,23A,08-Feb-2023,Arts Faculty,COMPLETED
Eze Festus,NYSC/BUK/2023/100172,OD/23A/0024,festus.eze@outlook.com,23A,17-Feb-2023,Computing Department,COMPLETED
Yusuf Obioma,NYSC/FUOYE/2023/100175,NI/23A/0025,obioyusuf@gmail.com,23A,14-Feb-2023,Science Faculty,COMPLETED
Olawale Chinonso,NYSC/UNICAL/2023/100180,EK/23A/0026,chinolawale@outlook.com,23A,24-Mar-2023,Medical Sciences,COMPLETED
Yusuf Adaeze,NYSC/ABU/2023/100189,KW/23A/0027,adaezeyusuf14@yahoo.com,23A,11-Mar-2023,Law Faculty,COMPLETED
Adekunle Ogechi,NYSC/UNIMAID/2023/100201,RS/23A/0028,ogechi.adekunle@gmail.com,23A,01-Feb-2023,Law Faculty,COMPLETED
Oyelaran Chinonso,NYSC/UNIPORT/2023/100214,IM/23A/0029,chinonso.oyelaran@hotmail.com,23A,17-Mar-2023,Agriculture Faculty,COMPLETED
Obi Emeka,NYSC/BUK/2023/100223,EN/23A/0030,emekaobi40@outlook.com,23A,14-Feb-2023,Arts Faculty,COMPLETED
Nwachukwu Obioma,NYSC/BUK/2023/100227,JG/23A/0031,obiomanwachukwu31@yahoo.com,23A,02-Feb-2023,Environmental Sciences,COMPLETED
Hassan Femi,NYSC/UI/2023/100239,CR/23A/0032,femi.hassan@gmail.com,23A,13-Feb-2023,Arts Faculty,COMPLETED
Olawale Chukwudi,NYSC/UNICAL/2023/100254,ED/23A/0033,chukwudiolawale85@yahoo.com,23A,18-Feb-2023,Social Sciences,COMPLETED
