"NYSC Corper Registry — Batch 25C | Lead City University, Ibadan",,,,,,,
Full Name,Call-Up Number,State Code,Email,Batch,Service Start Date,Deployment Unit,Status
Oyeleke Oluwaseyi,NYSC/NOUN/2025/106047,NI/25C/0001,oluwoyeleke@hotmail.com,25C,30-Sept-2025,Computing Department,ACTIVE
Iwu Abdullahi,NYSC/FUTA/2025/106051,ZA/25C/0002,abdullahiiwu90@yahoo.com,25C,18-Sept-2025,Computing Department,ACTIVE
Chukwu Amarachi,NYSC/FUOYE/2025/106053,KW/25C/0003,amarchukwu@yahoo.com,25C,03-Aug-2025,Management Sciences,ACTIVE
Ogbu Chioma,NYSC/FUOYE/2025/106054,KD/25C/0004,chioma.ogbu@hotmail.com,25C,17-Aug-2025,Library,ACTIVE
Nzekwe Aisha,NYSC/UNIMAID/2025/106066,NI/25C/0005,aisha.nzekwe@gmail.com,25C,31-Aug-2025,Education Faculty,ACTIVE
Ogbonna Abdullahi,NYSC/UNN/2025/106071,OY/25C/0006,abdullahi.ogbonna@outlook.com,25C,12-Sept-2025,Arts Faculty,ACTIVE
Sule Bolanle,NYSC/UNIPORT/2025/106072,EN/25C/0007,bolanlesule28@gmail.com,25C,14-Sept-2025,Medical Sciences,ACTIVE
Nwachukwu Tolulope,NYSC/FUTA/2025/106086,KD/25C/0008,tolulopenwachukwu77@gmail.com,25C,19-Sept-2025,Education Faculty,ACTIVE
Obi Obiageli,NYSC/UNILORIN/2025/106101,CR/25C/0009,obiageliobi54@gmail.com,25C,22-Sept-2025,Science Faculty,ACTIVE
Adeleke Obioma,NYSC/UNN/2025/106112,BY/25C/0010,obiomaadeleke93@yahoo.com,25C,02-Sept-2025,Computing Department,ACTIVE
Nzekwe Chinyere,NYSC/UNILORIN/2025/106126,EB/25C/0011,chinyere.nzekwe@hotmail.com,25C,07-Aug-2025,Agriculture Faculty,ACTIVE
Adeyemi Segun,NYSC/FUOYE/2025/106132,KN/25C/0012,segun.adeyemi@hotmail.com,25C,12-Sept-2025,Engineering Faculty,ACTIVE
Obi Chizaram,NYSC/OAU/2025/106137,OG/25C/0013,chizobi@gmail.com,25C,04-Sept-2025,Social Sciences,ACTIVE
Ogbonna Mohammed,NYSC/UNN/2025/106152,RS/25C/0014,mohammedogbonna81@hotmail.com,25C,12-Aug-2025,Environmental Sciences,ACTIVE
Ajayi Hassan,NYSC/OAU/2025/106165,PL/25C/0015,hassajayi@hotmail.com,25C,10-Sept-2025,Medical Sciences,ACTIVE
Adeyemi Garba,NYSC/UNILAG/2025/106169,BY/25C/0016,garba.adeyemi@gmail.com,25C,09-Sept-2025,Environmental Sciences,ACTIVE
Obi Aisha,NYSC/FUTA/2025/106170,SO/25C/0017,aisha.obi@yahoo.com,25C,29-Sept-2025,Social Sciences,ACTIVE
Abdullahi Dauda,NYSC/UI/2025/106180,AN/25C/0018,dauda.abdullahi@gmail.com,25C,15-Aug-2025,Medical Sciences,ACTIVE
Agu Femi,NYSC/UNILORIN/2025/106192,CR/25C/0019,femiagu@yahoo.com,25C,25-Sept-2025,Agriculture Faculty,ACTIVE
Anyanwu Chinyere,NYSC/UNILAG/2025/106201,NA/25C/0020,chinanyanwu@gmail.com,25C,10-Aug-2025,Science Faculty,ACTIVE
Obi Chinonso,NYSC/UNILORIN/2025/106205,AE/25C/0021,chinonso.obi@gmail.com,25C,16-Sept-2025,Social Sciences,ACTIVE
Fashola Tobi,NYSC/FUTA/2025/106209,CR/25C/0022,tobifashola82@yahoo.com,25C,06-Aug-2025,Law Faculty,ACTIVE
Rabiu Taiwo,NYSC/UNIMAID/2025/106215,IM/25C/0023,taiworabiu65@hotmail.com,25C,02-Aug-2025,Education Faculty,ACTIVE
Musa Tobi,NYSC/ABU/2025/106222,ED/25C/0024,tobimusa33@hotmail.com,25C,30-Aug-2025,Agriculture Faculty,ACTIVE
Mbah Chibuike,NYSC/FUOYE/2025/106229,EK/25C/0025,chibuike.mbah@hotmail.com,25C,01-Aug-2025,Arts Faculty,ACTIVE
Obi Oluwaseyi,NYSC/NOUN/2025/106238,SO/25C/0026,oluwaseyiobi96@outlook.com,25C,20-Aug-2025,Management Sciences,ACTIVE
Hassan Chioma,NYSC/UNN/2025/106248,OG/25C/0027,chiohassan@outlook.com,25C,23-Aug-2025,Management Sciences,ACTIVE
Obi Olalekan,NYSC/NOUN/2025/106260,OS/25C/0028,olalekanobi32@hotmail.com,25C,10-Sept-2025,Management Sciences,ACTIVE
Bello Fatima,NYSC/UNIPORT/2025/106271,RS/25C/0029,fatima.bello@yahoo.com,25C,08-Aug-2025,Computing Department,ACTIVE
Igwe Yakubu,NYSC/OAU/2025/106273,KN/25C/0030,yakubuigwe55@yahoo.com,25C,14-Sept-2025,Agriculture Faculty,ACTIVE
Rabiu Salisu,NYSC/BUK/2025/106282,ED/25C/0031,salisurabiu14@outlook.com,25C,17-Sept-2025,Library,ACTIVE
Ojo Ezinne,NYSC/UNILAG/2025/106297,ED/25C/0032,ezinojo@gmail.com,25C,27-Aug-2025,Arts Faculty,ACTIVE
Bankole Chizaram,NYSC/LASU/2025/106304,KG/25C/0033,chizarambankole24@yahoo.com,25C,12-Aug-2025,Arts Faculty,ACTIVE
Ugwu Olamide,NYSC/UNILORIN/2025/106306,AE/25C/0034,olamideugwu98@yahoo.com,25C,29-Aug-2025,Engineering Faculty,ACTIVE
Nwachukwu Adaobi,NYSC/OAU/2025/106321,IM/25C/0035,adaobi.nwachukwu@gmail.com,25C,22-Aug-2025,Law Faculty,ACTIVE
Mbah Ibrahim,NYSC/UNN/2025/106331,SO/25C/0036,ibrahim.mbah@gmail.com,25C,14-Aug-2025,Engineering Faculty,ACTIVE
Rabiu Chukwuemeka,NYSC/UI/2025/106344,YB/25C/0037,chukwuemekarabiu97@outlook.com,25C,24-Aug-2025,Education Faculty,ACTIVE
Ajayi Ogechi,NYSC/FUTMINNA/2025/106359,CR/25C/0038,ogechiajayi49@gmail.com,25C,21-Sept-2025,Computing Department,ACTIVE
Nwosu Chukwudi,NYSC/UNILAG/2025/106360,AN/25C/0039,chukwudinwosu68@outlook.com,25C,29-Aug-2025,Environmental Sciences,ACTIVE
Ogundimu Adeola,NYSC/BUK/2025/106371,TA/25C/0040,adeoogundimu@gmail.com,25C,24-Aug-2025,Computing Department,ACTIVE
Nzekwe Victor,NYSC/UNICAL/2025/106372,NA/25C/0041,victornzekwe52@gmail.com,25C,30-Sept-2025,Environmental Sciences,ACTIVE
Lawal Ramoni,NYSC/FUTA/2025/106387,KD/25C/0042,ramoni.lawal@yahoo.com,25C,01-Sept-2025,Environmental Sciences,ACTIVE
Ogbu Gbenga,NYSC/UNIPORT/2025/106389,IM/25C/0043,gbenga.ogbu@hotmail.com,25C,11-Aug-2025,Science Faculty,ACTIVE
Obi Oluwatobiloba,NYSC/BUK/2025/106400,KW/25C/0044,oluwatobilobaobi21@outlook.com,25C,15-Aug-2025,Library,ACTIVE
